english	german	french	spanish	xhosa	afrikaans
to accuse	beschuldigen	accuser	acusar	yokulumangalela	te beskuldig
to celebrate	feiern	célébrer	celebrar	ukubhiyzela	te vier
to disturb	stören	déranger	molestar	ukuphazamisa	steur
to file	einordnen	classer	archivar	kwifayile	om te liasseer
to light	anzünden	éclairer	iluminar	ekukhanyeni	om lig te gee
to promote	befördern	promouvoir	promover	ukuthengisa	om te bevorder
to sail	segeln	naviguer	navegar	ukuba kudlulwe	te vaar
to switch	wechseln	commuter	cambiar	ukuya kula desktop	om te verander
to advise	beraten	conseiller	aconsejar	ukuze icebise	te adviseer
to combine	kombinieren	combiner	combinar	ukudibanisa	te kombineer
to dominate	dominieren	dominer	dominar	ukuyongamela	oorheers
to fire	feuern	virer	disparar	ukuba umlilo	om te vuur
to list	auflisten	lister	listar	ukudwelisa	om 'n lys
to question	in Frage stellen	questionner	interrogar	ukuthandabuza	bevraagteken
to satisfy	befriedigen	satisfaire	satisfacer	ukwanelisa	om te voldoen aan
to taste	schmecken	goûter	probar	ukungcamla	om te proe
to appoint	ernennen	nommer	nombrar	ukuqesha	om aan te stel
to comment	kommentieren	commenter	comentar	ukuba izimvo	om kommentaar te lewer
to doubt	zweifeln	douter	dudar	ukuba bathandabuze	om te twyfel
to fix	reparieren	Réparer	fijar	ukulungisa	om reg te maak
to lock	abschließen	verrouiller	bloquear	ukutshixa	te sluit
to race	rennen	faire la course	competir	nobuhlanga	van ras
to score	punkten	marquer	calificar	ukuba amanqaku	teken punte aan
to tear	reißen	pleurer	rasgar	ukukrazula	skeur
to appreciate	wertschätzen	apprécier	apreciar	siqonde	om te waardeer
to conclude	schlussfolgern	de conclure	concluir	ukushwankathela	in afsluiting
to dream	träumen	rêver	soñar	ukuba iphupha	om te droom
to flow	fließen	couler	fluir	ukuba iqukuqele	om te vloei
to maintain	aufrecht erhalten	Maintenir	mantener	ukugcina	te onderhou
to recommend	empfehlen	recommander	recomendar	kungacetyiswa ukuba	om aan te beveel
to search	suchen	chercher	buscar	ukukhangela	om te soek
to threaten	bedrohen	Menacer	amenazar	ukuze oyikise	om te dreig
to approach	sich nähern	s'approcher	acercarse	ukusondela	te benader
to conduct	etwas leiten	mener	conducir	ukuba aqhube	uit te voer
to dry	trocknen	sécher	secar	ukuba yome	om droog te maak
to generate	generieren	générer	generar	ukujikelezisa	om te genereer
to marry	heiraten	se marier	casarse	ukutshata	om te trou
to recover	erholen	se remettre	recuperar	ukuze afumane	om te herstel
to seek	suchen	chercher	buscar	Ukufuna	om te soek
to tie	binden	attacher	atar	imitya	te bind
to arrest	verhaften	arrêter	arrestar	ukuba bambambe	in hegtenis te neem
to construct	erstellen	construire	construir	ukwakha	om te bou
to earn	verdienen	gagner	ganar	ukufumana	verdien
to grant	gewähren	Accorder	conceder	ukuba anike	om toe te laat
to match	passen	correspondre	coincidir	ukudibanisa	te pas
to regret	bereuen	regretter	lamentar	kuzisola	om spyt te wees
to sink	sinken	couler	hundir	ukutshona	Om te sink
to transfer	übermitteln	transférer	transferir	ukutshintshela	oor te dra
to attempt	versuchen	tenter	intentar	ukuba uzame	om te probeer
to convince	überzeugen	convaincre	convencer	nokubohlwaya	te oortuig
to elect	wählen	élire	elegir	wokonyula	om te kies
to guess	raten	deviner	adivinar	ukuqashisela ukuba	om te raai
to mix	mischen	mélanger	mezclar	uxutywe	om te meng
to reject	ablehnen	rejeter	rechazar	yokugatya	te verwerp
to slip	rutschen	glisser	rebalar	ukutyibilika	te glip
to trust	vertrauen	faire confiance	confiar	ukukholosa	te vertrou
to attend	teilnehmen	participer	asistir	Zimasa	om by te woon
to cope	beweältigen	Faire face	hacer frente a	ukumelana	om te gaan
to emerge	hervorkommen	Émerger	surgir	ukuba ivele	te voorskyn kom
to hand	etwas überreichen	À la main	entregar	ukuba isandla	om te gee
to name	benennen	appeler	nombrar	igama	te noem
to relax	entspannen	se relaxer	relajarse	ukuphumla	om te ontspan
to smoke	rauchen	fumer	fumar	ukuba ukutshaya	om te rook
to vary	variieren	faire varier	variar	lahlukile	wissel
to attract	anziehen	attirer	atraer	ukutsala	om aan te trek
to criticize	kritisieren	critiquer	criticar	ukugxeka	om te kritiseer
to employ	beschäftigen	employer	emplear	ukuba isebenzise	om in diens te neem
to ignore	ignorieren	ignorer	ignorar	ngoyaba	om te ignoreer
to note	notieren	constater	notar	ukuqaphela	om daarop te let
to rely	sich verlassen auf	compter sur	confiar	ukuba sithembele	om staat te maak
to solve	lösen	résoudre	resolver	ukulungisa	om op te los
to view	sehen	regarder	ver	ukubonisela	om te aanskou
to behave	sich benehmen	se comporter	comportarse	ukuba baziphathe	om te gedra
to dare	sich trauen	oser	atreverse	ubudela	te waag
to ensure	sicherstellen	s'assurer	asegurar	ukuqinisekisa	te verseker
to illustrate	um zu veranschaulichen	pour illustrer	ilustrar	ukucacisa	om te illustreer
to occupy	besetzen	occuper	ocupar	ukuba ithabathele	om te beset
to remind	erinnern	rappeler	recordar	ukukhumbuza	om te onthou
to spread	verbreiten	étendre	difundir	ukusasaza	om te versprei
to waste	verschwenden	gaspiller	perder	ngokujaceka	te mors
to bend	biegen	plier	curvar	ukuba ukugoba	buig
to date	miteinander ausgehen	sortir avec	fechar	ukuya kumhla	tot op hede
to escape	fliehen	pour échapper à	escapar	ukubaleka	om te ontsnap
to impress	beeindrucken	impressionner	impresionar	ukuze ndiwakhumbule	om te beïndruk
to organize	organisieren	organiser	organizar	ukuba aququzelele	om te organiseer
to resist	widerstehen	à résister	resistir	ukuxhathisa	om te weerstaan
to star	eine Hauptrolle spielen	pour jouer	protagonizar	iinkwenkwezi	te ster
to wave	winken	dire au revoir	agitar	ukuba itshangatshangiswe	waai
to benefit	profitieren	bénéficier	beneficiar	ukuba inzuzo	om te baat by
to declare	verkünden	déclarer	declarar	ukuvakalisa	om te verklaar
to establish	etablieren	établir	establecer	ukuseka	om vas te stel
to insist	auf etwas bestehen	insister	insistir	ukulixelela ukuba	aan te dring
to owe	schulden	devoir	deber	ukuba babenzele	om te skuld
to respect	respektieren	respecter	respetar	ukuba malunga	om te respekteer
to steal	stehlen	voler	robar	ukweba	om te steel
to weigh	wiegen	peser	pesar	ukuba uthandaze	te weeg
to bite	beißen	mordre	morder	ukuba alunywe	om te byt
to decline	ablehnen	baisser	desistir	ukuba ungarhoxa	afneem
to estimate	schätzen	estimer	estimar	ukuqikelela	om te skat
to invent	erfinden	inventer	inventar	okusungula	om uit te vind
to paint	malen	peindre	pintar	Ukupeyinta	om te verf
to respond	antworten	répondre	responder	ukusabela	om te reageer
to step	schreiten	avancer d'un pas	pisar	kwinyathelo	te stap
to welcome	begrüßen	d'accueillir	dar la bienvenida	ukwamkela	om te verwelkom
to blame	beschuldigen	reprocher	culpar	ukutyola	om te blameer
to defeat	besiegen	vaincre	derrotar	ukuba litshitshiswe	om te oorwin
to exchange	wechseln	échanger	intercambiar	kutshintshiselwano	uit te ruil
to investigate	untersuchen	enquêter	investigar	ukuze aphande	om ondersoek in te
to permit	erlauben	Autoriser	permitir	ukuvumela	om toe te laat
to restrict	beschränken	restreindre	restringir	ukuba imiqathango	om te beperk
to store	lagern	stocker	almacenar	ukugcina	om te stoor
to blow	blasen	souffler	soplar	ukuba avuthele	te blaas
to defend	verteidigen	défendre	defender	ukuthethelela	te verdedig
to exclude	ausschließen	exclure	excluir	ukuba ngaphandle	uit te sluit
to issue	ausgeben	Émettre	emitir	ukuba akhuphe	uit te reik
to persuade	überreden	pour convaincre	persuadir	ukuba beyiseke	om te oortuig
to retire	in Rente gehen	partir à la retraite	jubilarse	ukuba umhlala	om af te tree
to stretch	strecken	étirer	estirar	ndisolule	te rek
to bother	ärgern	déranger	molestar	ungenakuwuxhalabela	te pla
to define	definieren	définir	definir	ukuchaza	om te definieer
to excuse	entschuldigen	Excuser	disculpar	bafun	om verskoning
to judge	beurteilen	juger	juzgar	ukuba ngumgwebi	om te oordeel
to phone	telefonieren	téléphoner	telefonear	kwifowuni	bel
to review	überprüfen	réviser	revisar	ukuba ihlole	te hersien
to strike	streiken	frapper	estar de huelga	lokuqhankqalaza	om te staak
to breathe	atmen	respirer	respirar	ukuphefumla	om asem te haal
to dig	graben	à creuser	cavar	ukwemba	om te grawe
to expand	erweitern	étendre	expandir	ukwandisa	om uit te brei
to justify	rechtfertigen	justifier	justificar	ku hlamusela	te regverdig
to possess	besitzen	posséder	poseer	ukuba nilime	om in besit te neem
to ride	reiten	conduire	montar	ukukhwela	om te ry
to surround	umgeben	entourer	rodear	ukuze zingqonge	om omring
to burst	platzen	éclater	estallar	kugqabhuka	bars
to direct	leiten	à diriger	dirigir	ukwalathisa	te rig
to explore	erforschen	explorer	explorar	ukuba baphicothe	te verken
to land	landen	atterrir	aterrizar	emhlabeni	tot grond
to pour	eingießen	verser	verter	ukuze ndiyiphalaze	te gooi
to risk	riskieren	risquer	arriesgar	ukuba umngcipheko	om risiko
to suspect	vermuten	suspecter	sospechar	orhanela	om te vermoed
to calculate	berechnen	calculer	calcular	ukubala	te bereken
to dismiss	ablehnen	de rejeter	despedir	ukuze ndiyeke	te ontslaan
to fear	fürchten	avoir peur	temer	ukumoyika	om te vrees
to launch	starten	lancer	lanzar	ukuba ukusungulwa	om bekendstelling
to practise	üben	pratiquer	practicar	ukuqhelisela	uit te oefen
to rule	regieren	Gouverner	mandar	ukuba alawule	te regeer
to swim	Schwimmen	nager	nadar	ukuqubha	om te swem
to capture	erfassen	capturer	capturar	ukuba zifake	te vang
to display	anzeigen	afficher	mostrar	ukubonisa	te vertoon
to feature	aufweisen	Mettre en vedette	presentar	ukuba osemqoka	om funksie
to lean	lehnen	s'appuyer	apoyarse	onokukhalela	om op te leun
to print	drucken	imprimer	imprimir	yokuprinta	druk
to rush	stürzen	se précipiter	apurarse	ukuba bakuphembelele	te jaag
to swing	schaukeln	Balancer	oscilar	sokujingajinga	om te swaai
to abandon	aufgeben	Abandonner	abandonar	ukuba ndikushiye	om te laat vaar
to cheat	betrügen	tricher	engañar	yokukopa	om te kul
to drag	ziehen	traîner	arrastrar	ukuba utsalo	om te sleep
to heat	heizen	chauffer	calentar	ebushushwini	aan hitte
to object	widersprechen	élever une objection	oponerse	ukuba into	om voorwerp
to pursue	verfolgen	poursuivre	perseguir	ukuba ukulandela	na te streef
to sign	unterschreiben	signer	firmar	ukuba basayine	om aan te meld
to tackle	anpacken	tacler	afrontar	ukuba kuhoywane	aan te pak
to admire	bewundern	admirer	admirar	ukuba bamhlonele	Om te admireer
to chew	kauen	mâcher	masticar	ihlafuna	om te kou
to draw	zeichnen	dessiner	dibujar	ukuzoba	om te trek
to hesitate	zögern	hésiter	dudar	ukuba madolw	om huiwer
to oblige	verpflichten	obliger	obligar	okunyanzela	om te dwing
to qualify	qualifizieren	qualifier	calificar	ukufanelekela	om te kwalifiseer
to slide	schlittern	glisser	deslizarse	kwisilayidi	te skuif
to tap	klopfen	Toucher	tocar	ukuze kufunyanwe	om te tik
to adopt	adoptieren	adopter	adoptar	ukuze amkele	om aan te neem
to collapse	zusammenbrechen	S'effondrer	colapsar	ukuyisonga	om te val
to drown	ertrinken	se noyer	ahogar	singaliva	om te verdrink
to house	unterbringen	loger	alojar	ukuya kwindlu	huis
to observe	beobachten	observer	observar	ukuba bazigcine	in ag te neem
to quit	beenden	quitter	abandonar	ukuyeka	om op te hou
to smash	zerschlagen	fracasser	aplastar	abadubulanayo	te smash
to trace	verfolgen	tracer	rastrear	ukuba ukulandela	op te spoor
to advertise	werben	faire de la publicité	anunciar	ukuba sibhengeze	om te adverteer
to compose	komponieren	composer	componer	ukuba baqambe	om saam te stel
to educate	ausbilden	pour éduquer	educar	kukufundisa	op te voed
to hurry	sich beeilen	se dépêcher	apresurar	mandikhawulezise	gou te maak
to oppose	ablehnen	s'opposer	oponerse	ukuchasa	teen te staan
to quote	zitieren	citer	citar	ukucaphula	om aan te haal
to smell	riechen	sentir	oler	ukunukisa	te ruik
to trade	handeln	négocier	intercambiar	ukuba yorhwebo	om handel te dryf
to announce	ankündigen	annoncer	anunciar	ukwazisa	om aan te kondig
to condemn	verurteilen	condamner	condenar	ukuba zihluthe	veroordeel
to emphasize	hervorheben	Souligner	enfatizar	ukugxininisa	om te beklemtoon
to imply	implizieren	impliquer	implicar	ungavakali	impliseer
to overcome	überwinden	surpasser	superar	ukoyisa	te oorkom
to rain	regnen	pleuvoir	llover	ukunetha	om te reën
to spell	buchstabieren	épeler	deletrear	ukupela	om te spel
to transform	transformieren	transformer	transformar	ukuba inguqu	om te transformeer
to appeal	ansprechen	Faire appel	apelar	ukuba isibheno	om te appelleer
to confuse	verwirren	confondre	confundir	ukubhidekisa	te verwar
to entertain	unterhalten	distraire	entretener	ukonwabisa	om te vermaak
to import	importieren	importer	importar	ukuya elizweni	invoer
to pack	packen	faire ses valises	empacar	ndipakishe	om te pak
to react	reagieren	réagir	reaccionar	ukuba asabele	om te reageer
to spill	verschütten	renverser	derramar	achitheke	om te mors
to translate	übersetzen	traduire	traducir	ukuba aguqulele	om te vertaal
to approve	genehmigen	approuver	aprobar	lokuvuma	goed te keur
to congratulate	gratulieren	féliciter	felicitar	Siyavuyisana	gelukwens
to exaggerate	übertreiben	Exagérer	exagerar	ukubaxa	te oordryf
to impose	verhängen	d'imposer	imponer	lokuwisa	op te lê
to park	parken	se garer	aparcar	ukuba apake	om te parkeer
to reckon	schätzen	estimer	considerar	ukubalelana	afreken
to spin	drehen	tourner	girar	ukuba spin	spin
to transport	transportieren	transporter	transportar	ukuba izithuthi	vervoer
to assist	helfen	aider	asistir	ukuncedisa	om te help
to consult	konsultieren	consulter	consultar	ukuba bajonge	te raadpleeg
to explode	explodieren	exploser	explotar	ukuba abe ligqabi	om te ontplof
to injure	verletzen	blesser	lesionar	nza	te beseer
to pause	pausieren	arrêter, mettre en pause	pausar	ukuba umvumele	te breek
to register	registrieren	enregistrer	registrar	ukuba babhalise	om te registreer
to split	aufteilen	séparer	dividir	ukuba angazahluli	om op The breek
to trap	einfangen	piéger	atrapar	ukuze mgibe	te vang
to assume	annehmen	présumer	asumir	ukurhwaphilizela	om aan te neem
to convert	umwandeln	convertir	convertir	ukuguqula	om te skakel
to exploit	ausnutzen	exploiter	explotar	ukuxhaphaza	te ontgin
to install	installieren	à installer	instalar	ukufakela	om te installeer
to perceive	wahrnehmen	percevoir	percibir	yokwazi	om te verstaan
to relieve	entlasten	pour soulager	aliviar	kokubambela	om te verlig
to spoil	verderben	gâter	estropear	nasekuphangweni	te bederf
to twist	verdrehen	tordre	torcer	iimbombozi	om te draai
to attach	befestigen	attacher	adjuntar	ukufakelela	te heg
to convey	vermitteln	Transmettre	transmitir	ukugqithisa	oor te dra
to export	exportieren	exporter	exportar	ukuba urhwebe ngaphandle	uit te voer
to insult	beleidigen	insulter	insulto	isigculelo	om belediging
to plant	pflanzen	planter	plantar	ukuba izityalo	om te plant
to rent	mieten	louer	alquilar	ukuqesha	te huur
to sponsor	sponsern	sponsoriser	patrocinar	ukuba indixhase	om borg
to upset	aufregen	contrarier	molestar	ukucaphukisa	om ontstel
to award	vergeben	accorder	adjudicar	asivunyelwa	toe te ken
to convict	verurteilen	condamner	condenar	uyamgweba	om te oortuig
to favour	begünstigen	Favoriser	favorecer	lokuyibabala	om ten gunste van
to interrupt	unterbrechen	interrompre	interrumpir	ukuba ziphazamise	om te onderbreek
to please	erfreuen	plaire	agradar	ukwenelisa	om tevrede te stel
to repair	reparieren	réparer	reparar	ukuba alungise	herstel
to squeeze	auspressen	serrer	exprimir	balukuhlwe	te druk
to urge	drängen	d'exhorter	instar	amwisele	aan te dring
to back	unterstützen	retourner	volver	uzakubuyela	om terug
to cough	husten	tousser	toser	ukuba isikhohlela	hoes
to flash	aufblitzen	à clignoter	destellar	ukuba flash	flits
to interview	befragen	interviewer	entrevistar	ukuba udliwano	om 'n onderhoud
to pop	knallen	éclater	estallar	ukuba izakuvelisa	pop
to rescue	retten	sauver	salvar	uyihlangulayo	om te red
to stamp	stempeln	Tamponner	sellar	ukuyiphelisa	te roei
to value	wertschätzen	estimer	valorizar	ukuba ixabiso	om waarde
to balance	ausbalancieren	équilibrer	equilibrar	ukulungelelanisa	te balanseer
to crack	zerbrechen	à craquer	romper	ukuba iqhekeke	om te kraak
to float	treiben	flotter	flotar	ukuba udade	om te dryf
to invest	investieren	investir	invertir	ukutyala	om te belê
to post	abschicken	poster	publicar	ukungathumeli	te plaas
to reserve	reservieren	réserver	reservar	ukuba ziyigcine	om reserwe
to steer	lenken	Diriger	dirigir	yitshintshe	bestuur
to vanish	verschwinden	disparaitre	desaparecer	kuthi shwaka	verdwyn
to ban	verbannen	exclure	prohibir	sokuvala	te verbied
to crash	zerstören	s'écraser	chocar	kubetheka	om te crash
to flood	fluten	Innonder	inundar	ugcwale	vloed
to kiss	küssen	embrasser	besar	ukuba amange	te soen
to pray	beten	prier	orar / rezar	ukuba sithandaze	om te bid
to resign	zurücktreten	démissionner	renunciar	ukurhoxa	om te bedank
to stir	rühren	remuer	revolver	ukuba usikhwezele	op te wek
to wake	aufwachen	réveiller	despertar	ukuba avuse	om wakker
to bear	ertragen	supporter	soportar	ukunyamezela	uit te oefen
to delay	verzögern	retarder	retrasar	yokulibazisa	om te vertraag
to focus	konzentrieren	se concentrer	atención	ukuba bagxininise	om te fokus
to lack	fehlen	manquer	faltar	banokungabi	tekort skiet
to predict	prognostizieren	prédire	predecir	ukuqikelela	om te voorspel
to reverse	umkehren	inverser	retroceder	ukuba umva	om te keer
to strengthen	stärken	à renforcer	fortalecer	ukomeleza	te versterk
to whisper	flüstern	chuchoter	susurrar	ku sebeza	fluister
to bet	wetten	parier	apostar	ukuba bet	n weddenskap aangaan
to demonstrate	demonstrieren	démontrer	demostrar	ukubonisa	om aan te toon
to free	befreien	libérer	liberar	asimahla	gratis
to lift	heben	Lever	levantar	ukuba avule	om op te tel
to preserve	konservieren	conserver	preservar	ukulondoloza	om te preserveer
to rub	reiben	frotter	frotar	iyabosulela	om te vryf
to stress	betonen	souligner	subrayar	kuxinezeleko	om te stres
to wind	sich winden	aérer	enrollar	Nceda zama	na aanleiding
to block	blockieren	bloquer	bloquear	ukubhloka	te sluit
to deserve	verdienen	mériter	merecer	ndiyenzileyo	om te verdien
to freeze	frieren	geler	congelar	ngumkhenkce	te vries
to load	laden	charger	cargar	ukulayisha	om te laai
to pretend	vorgeben	prétendre	pretender	ukuba ngathi	voorgee
to sack	entlassen	mettre à la porte	despedir	ukuba aphe	om te sak
to struggle	sich abmühen	lutter	luchar	ukuba umzabalazo	om stryd
to wipe	wischen	pour essuyer	limpiar	okususa	te wis
to boil	kochen	bouillir	hervir	ungalipheki	kook
to devise	ersinnen	Concevoir	idear	ukuba athelekelele	om te bedink
to frighten	erschrecken	effrayer	asustar	kukoyikisa	om te skrik
to locate	lokalisieren	pour localiser	localizar	ukuze zifumane	op te spoor
to proceed	fortfahren	procéder	proceder	ukuba uqhubeke	om voort te gaan
to scream	schreien	hurler	gritar	khala	te skree
to submit	einreichen	soumettre	enviar	ukuba angenise	in te dien
to withdraw	sich zurückziehen	Se rétracter	retirar	lokusirhoxisa	om te onttrek
to book	buchen	réserver	reservar	ukubhuka	om te bespreek
to disagree	widersprechen	être en désaccord	discrepar	ukuba nineembono	om te verskil
to govern	regieren	Gouverner	gobernar	bazilawule	om te regeer
to manufacture	herstellen	à fabriquer	fabricar	aphuhluyo	te vervaardig
to process	verarbeiten	traiter	procesar	ukuba inkqubo	om te
to select	auswählen	pour sélectionner	seleccionar	ukuba ukhethe	om te kies
to surprise	überraschen	surprendre	sorprender	ngokuman	om te verras
to witness	bezeugen	être témoin de	testificar	okushumayela	om te getuig
to brush	bürsten	brosser	cepillar	ukuxukuxa	om te borsel
to disapprove	missbilligen	Désapprouver	desaprobar	ukuba ndithiye	om afkeur
to grab	fassen	attraper	agarrar	ndimbambe	te gryp
to monitor	überwachen	surveiller	supervisar	ukuba iliso	te monitor
to progress	vorankommen	progresser	progresar	ukuba inkqubela	om te vorder
to sense	spüren	détecter	sentir	ukuyiva	om sin
to survey	befragen	faire un sondage	encuestar	kulibhala	om opname
to wrap	einpacken	Envelopper	envolver	ukuba azisongele	toe te draai
to bury	begraben	enterrer	enterrar	ukuba ndimngcwabe	te begrawe
to dislike	nicht mögen	ne pas aimer	disgustar	ukuba uyayicaphukela	om laaik
to graduate	graduieren	être diplômé	graduar	ukuba bapase	gradueer
to mount	montieren	à monter	montar	ukunyusa	na die berg
to pronounce	aussprechen	prononcer	pronunciar	ukuba avakalise	om uit te spreek
to shape	formen	façonner	formar	emile	te vorm
to suspend	aussetzen	Suspendre	suspender	ugunyazisiweyo	op te skort
to cast	etwas werfen	Jeter	lanzar	ukuphosa	om te gooi
to distinguish	unterscheiden	distinguer	distinguir	ukwahlula	om te onderskei
to guarantee	garantieren	garantir	garantizar	kwi siqinisekiso	om waarborg
to murder	ermorden	assassiner	asesinar	ukuba abulale	tot moord
to protest	protestieren	protester	protestar	lokuqhankqalaza	om te protesteer
